Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution,Slug,Test_Cases,Has_Solutions,Languages
332, Reconstruct Itinerary,"['Depth-First Search', 'Graph', '1+']",43.30%,False,Hard,https://leetcode.com/problems/reconstruct-itinerary/description,https://leetcode.com/problems/reconstruct-itinerary/solutions,reconstruct-itinerary,"[{""input"": ""tickets = [[ \""MUC \"", \""LHR \""],[ \""JFK \"", \""MUC \""],[ \""SFO \"", \""SJC \""],[ \""LHR \"", \""SFO \""]]"", ""expectedOutput"": ""[ \""JFK \"", \""MUC \"", \""LHR \"", \""SFO \"", \""SJC \""]""}, {""input"": ""tickets = [[ \""JFK \"", \""SFO \""],[ \""JFK \"", \""ATL \""],[ \""SFO \"", \""ATL \""],[ \""ATL \"", \""JFK \""],[ \""ATL \"", \""SFO \""]]"", ""expectedOutput"": ""[ \""JFK \"", \""ATL \"", \""JFK \"", \""SFO \"", \""ATL \"", \""SFO \""]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
333, Largest BST Subtree,"['Dynamic Programming', 'Tree', '3+']",44.70%,True,Medium,https://leetcode.com/problems/largest-bst-subtree/description,https://leetcode.com/problems/largest-bst-subtree/solutions,largest-bst-subtree,"[{""input"": ""root = [10,5,15,1,8,null,7]"", ""expectedOutput"": ""3""}, {""input"": ""root = [4,2,7,2,3,5,null,2,null,null,null,null,null,1]"", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
334, Increasing Triplet Subsequence,"['Array', 'Greedy']",39.30%,False,Medium,https://leetcode.com/problems/increasing-triplet-subsequence/description,https://leetcode.com/problems/increasing-triplet-subsequence/solutions,increasing-triplet-subsequence,"[{""input"": ""nums = [1,2,3,4,5]"", ""expectedOutput"": ""true""}, {""input"": ""nums = [5,4,3,2,1]"", ""expectedOutput"": ""false""}, {""input"": ""nums = [2,1,5,0,4,6]"", ""expectedOutput"": ""true""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
335, Self Crossing,"['Array', 'Math', 'Geometry']",31.10%,False,Hard,https://leetcode.com/problems/self-crossing/description,https://leetcode.com/problems/self-crossing/solutions,self-crossing,"[{""input"": ""distance = [2,1,1,2]"", ""expectedOutput"": ""true""}, {""input"": ""distance = [1,2,3,4]"", ""expectedOutput"": ""false""}, {""input"": ""distance = [1,1,1,2,1]"", ""expectedOutput"": ""true""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
336, Palindrome Pairs,"['Array', 'Hash Table', 'String', '1+']",35.70%,False,Hard,https://leetcode.com/problems/palindrome-pairs/description,https://leetcode.com/problems/palindrome-pairs/solutions,palindrome-pairs,"[{""input"": ""words = [ \""abcd \"", \""dcba \"", \""lls \"", \""s \"", \""sssll \""]"", ""expectedOutput"": ""[[0,1],[1,0],[3,2],[2,4]]""}, {""input"": ""words = [ \""bat \"", \""tab \"", \""cat \""]"", ""expectedOutput"": ""[[0,1],[1,0]]""}, {""input"": ""words = [ \""a \"", \"" \""]"", ""expectedOutput"": ""[[0,1],[1,0]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
337, House Robber III,"['Dynamic Programming', 'Tree', '2+']",54.50%,False,Medium,https://leetcode.com/problems/house-robber-iii/description,https://leetcode.com/problems/house-robber-iii/solutions,house-robber-iii,"[{""input"": ""root = [3,2,3,null,3,null,1]"", ""expectedOutput"": ""7""}, {""input"": ""root = [3,4,5,1,3,null,1]"", ""expectedOutput"": ""9""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
338, Counting Bits,"['Dynamic Programming', 'Bit Manipulation']",79.00%,False,Easy,https://leetcode.com/problems/counting-bits/description,https://leetcode.com/problems/counting-bits/solutions,counting-bits,"[{""input"": ""n = 2"", ""expectedOutput"": ""[0,1,1]""}, {""input"": ""n = 5"", ""expectedOutput"": ""[0,1,1,2,1,2]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
339, Nested List Weight Sum,"['Depth-First Search', 'Breadth-First Search']",84.60%,True,Medium,https://leetcode.com/problems/nested-list-weight-sum/description,https://leetcode.com/problems/nested-list-weight-sum/solutions,nested-list-weight-sum,"[{""input"": ""nestedList = [[1,1],2,[1,1]]"", ""expectedOutput"": ""10""}, {""input"": ""nestedList = [1,[4,[6]]]"", ""expectedOutput"": ""27""}, {""input"": ""nestedList = [0]"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
340, Longest Substring with At Most K Distinct Characters,"['Hash Table', 'String', 'Sliding Window']",49.10%,True,Medium,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/description,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/solutions,longest-substring-with-at-most-k-distinct-characters,"[{""input"": ""s =  \""eceba \"", k = 2"", ""expectedOutput"": ""3""}, {""input"": ""s =  \""aa \"", k = 1"", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
341, Flatten Nested List Iterator,"['Stack', 'Tree', 'Depth-First Search', '3+']",64.90%,False,Medium,https://leetcode.com/problems/flatten-nested-list-iterator/description,https://leetcode.com/problems/flatten-nested-list-iterator/solutions,flatten-nested-list-iterator,"[{""input"": ""nestedList = [[1,1],2,[1,1]]"", ""expectedOutput"": ""[1,1,2,1,1]""}, {""input"": ""nestedList = [1,[4,[6]]]"", ""expectedOutput"": ""[1,4,6]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
342, Power of Four,"['Math', 'Bit Manipulation', 'Recursion']",48.60%,False,Easy,https://leetcode.com/problems/power-of-four/description,https://leetcode.com/problems/power-of-four/solutions,power-of-four,"[{""input"": ""n = 16"", ""expectedOutput"": ""true""}, {""input"": ""n = 5"", ""expectedOutput"": ""false""}, {""input"": ""n = 1"", ""expectedOutput"": ""true""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
343, Integer Break,"['Math', 'Dynamic Programming']",60.70%,False,Medium,https://leetcode.com/problems/integer-break/description,https://leetcode.com/problems/integer-break/solutions,integer-break,"[{""input"": ""n = 2"", ""expectedOutput"": ""1""}, {""input"": ""n = 10"", ""expectedOutput"": ""36""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
344, Reverse String,"['Two Pointers', 'String']",79.20%,False,Easy,https://leetcode.com/problems/reverse-string/description,https://leetcode.com/problems/reverse-string/solutions,reverse-string,"[{""input"": ""s = [\""h\"",\""e\"",\""l\"",\""l\"",\""o\""]"", ""expectedOutput"": ""[\""o\"",\""l\"",\""l\"",\""e\"",\""h\""]""}, {""input"": ""s = [\""H\"",\""a\"",\""n\"",\""n\"",\""a\"",\""h\""]"", ""expectedOutput"": ""[\""h\"",\""a\"",\""n\"",\""n\"",\""a\"",\""H\""]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
345, Reverse Vowels of a String,"['Two Pointers', 'String']",55.10%,False,Easy,https://leetcode.com/problems/reverse-vowels-of-a-string/description,https://leetcode.com/problems/reverse-vowels-of-a-string/solutions,reverse-vowels-of-a-string,"[{""input"": ""s = \""hello\"""", ""expectedOutput"": ""\""holle\""""}, {""input"": ""s = \""leetcode\"""", ""expectedOutput"": ""\""leotcede\""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
346, Moving Average from Data Stream,"['Array', 'Design', 'Queue', '1+']",79.00%,True,Easy,https://leetcode.com/problems/moving-average-from-data-stream/description,https://leetcode.com/problems/moving-average-from-data-stream/solutions,moving-average-from-data-stream,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
347, Top K Frequent Elements,"['Array', 'Hash Table', '6+']",63.50%,False,Medium,https://leetcode.com/problems/top-k-frequent-elements/description,https://leetcode.com/problems/top-k-frequent-elements/solutions,top-k-frequent-elements,"[{""input"": ""nums = [1,1,1,2,2,3], k = 2"", ""expectedOutput"": ""[1,2]""}, {""input"": ""nums = [1], k = 1"", ""expectedOutput"": ""[1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
348, Design Tic-Tac-Toe,"['Array', 'Hash Table', 'Design', '2+']",58.20%,True,Medium,https://leetcode.com/problems/design-tic-tac-toe/description,https://leetcode.com/problems/design-tic-tac-toe/solutions,design-tic-tac-toe,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
349, Intersection of Two Arrays,"['Array', 'Hash Table', 'Two Pointers', '2+']",75.50%,False,Easy,https://leetcode.com/problems/intersection-of-two-arrays/description,https://leetcode.com/problems/intersection-of-two-arrays/solutions,intersection-of-two-arrays,"[{""input"": ""nums1 = [1,2,2,1], nums2 = [2,2]"", ""expectedOutput"": ""[2]""}, {""input"": ""nums1 = [4,9,5], nums2 = [9,4,9,8,4]"", ""expectedOutput"": ""[9,4]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
350, Intersection of Two Arrays II,"['Array', 'Hash Table', 'Two Pointers', '2+']",58.70%,False,Easy,https://leetcode.com/problems/intersection-of-two-arrays-ii/description,https://leetcode.com/problems/intersection-of-two-arrays-ii/solutions,intersection-of-two-arrays-ii,"[{""input"": ""nums1 = [1,2,2,1], nums2 = [2,2]"", ""expectedOutput"": ""[2,2]""}, {""input"": ""nums1 = [4,9,5], nums2 = [9,4,9,8,4]"", ""expectedOutput"": ""[4,9]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
351, Android Unlock Patterns,"['Dynamic Programming', 'Backtracking', '2+']",53.00%,True,Medium,https://leetcode.com/problems/android-unlock-patterns/description,https://leetcode.com/problems/android-unlock-patterns/solutions,android-unlock-patterns,"[{""input"": ""m = 1, n = 1"", ""expectedOutput"": ""9""}, {""input"": ""m = 1, n = 2"", ""expectedOutput"": ""65""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
352, Data Stream as Disjoint Intervals,"['Binary Search', 'Design', 'Ordered Set']",60.20%,False,Hard,https://leetcode.com/problems/data-stream-as-disjoint-intervals/description,https://leetcode.com/problems/data-stream-as-disjoint-intervals/solutions,data-stream-as-disjoint-intervals,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
353, Design Snake Game,"['Array', 'Hash Table', 'Design', '2+']",38.90%,True,Medium,https://leetcode.com/problems/design-snake-game/description,https://leetcode.com/problems/design-snake-game/solutions,design-snake-game,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
354, Russian Doll Envelopes,"['Array', 'Binary Search', '2+']",37.10%,False,Hard,https://leetcode.com/problems/russian-doll-envelopes/description,https://leetcode.com/problems/russian-doll-envelopes/solutions,russian-doll-envelopes,"[{""input"": ""envelopes = [[5,4],[6,4],[6,7],[2,3]]"", ""expectedOutput"": ""3""}, {""input"": ""envelopes = [[1,1],[1,1],[1,1]]"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
355, Design Twitter,"['Hash Table', 'Linked List', 'Design', '1+']",40.90%,False,Medium,https://leetcode.com/problems/design-twitter/description,https://leetcode.com/problems/design-twitter/solutions,design-twitter,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
356, Line Reflection,"['Array', 'Hash Table', 'Math']",35.80%,True,Medium,https://leetcode.com/problems/line-reflection/description,https://leetcode.com/problems/line-reflection/solutions,line-reflection,"[{""input"": ""points = [[1,1],[-1,1]]"", ""expectedOutput"": ""true""}, {""input"": ""points = [[1,1],[-1,-1]]"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
357, Count Numbers with Unique Digits,"['Math', 'Dynamic Programming', '1+']",53.40%,False,Medium,https://leetcode.com/problems/count-numbers-with-unique-digits/description,https://leetcode.com/problems/count-numbers-with-unique-digits/solutions,count-numbers-with-unique-digits,"[{""input"": ""n = 2"", ""expectedOutput"": ""91""}, {""input"": ""n = 0"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
358, Rearrange String k Distance Apart,"['Hash Table', 'String', 'Greedy', '3+']",39.10%,True,Hard,https://leetcode.com/problems/rearrange-string-k-distance-apart/description,https://leetcode.com/problems/rearrange-string-k-distance-apart/solutions,rearrange-string-k-distance-apart,"[{""input"": ""s =  \""aabbcc \"", k = 3"", ""expectedOutput"": ""\""abcabc \""""}, {""input"": ""s =  \""aaabc \"", k = 3"", ""expectedOutput"": ""\"" \""""}, {""input"": ""s =  \""aaadbbcc \"", k = 2"", ""expectedOutput"": ""\""abacabcd \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
359, Logger Rate Limiter,"['Hash Table', 'Design', 'Data Stream']",76.20%,True,Easy,https://leetcode.com/problems/logger-rate-limiter/description,https://leetcode.com/problems/logger-rate-limiter/solutions,logger-rate-limiter,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
360, Sort Transformed Array,"['Array', 'Math', 'Two Pointers', '1+']",56.20%,True,Medium,https://leetcode.com/problems/sort-transformed-array/description,https://leetcode.com/problems/sort-transformed-array/solutions,sort-transformed-array,"[{""input"": ""nums = [-4,-2,2,4], a = 1, b = 3, c = 5"", ""expectedOutput"": ""[3,9,15,33]""}, {""input"": ""nums = [-4,-2,2,4], a = -1, b = 3, c = 5"", ""expectedOutput"": ""[-23,-5,1,7]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
361, Bomb Enemy,"['Array', 'Dynamic Programming', 'Matrix']",51.90%,True,Medium,https://leetcode.com/problems/bomb-enemy/description,https://leetcode.com/problems/bomb-enemy/solutions,bomb-enemy,"[{""input"": ""grid = [[ \""0 \"", \""E \"", \""0 \"", \""0 \""],[ \""E \"", \""0 \"", \""W \"", \""E \""],[ \""0 \"", \""E \"", \""0 \"", \""0 \""]]"", ""expectedOutput"": ""3""}, {""input"": ""grid = [[ \""W \"", \""W \"", \""W \""],[ \""0 \"", \""0 \"", \""0 \""],[ \""E \"", \""E \"", \""E \""]]"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
362, Design Hit Counter,"['Array', 'Binary Search', 'Design', '2+']",68.90%,True,Medium,https://leetcode.com/problems/design-hit-counter/description,https://leetcode.com/problems/design-hit-counter/solutions,design-hit-counter,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
363, Max Sum of Rectangle No Larger Than K,"['Array', 'Binary Search', 'Matrix', '2+']",44.30%,False,Hard,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k/description,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k/solutions,max-sum-of-rectangle-no-larger-than-k,"[{""input"": ""matrix = [[1,0,1],[0,-2,3]], k = 2"", ""expectedOutput"": ""2""}, {""input"": ""matrix = [[2,2,-1]], k = 3"", ""expectedOutput"": ""3""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
364, Nested List Weight Sum II,"['Stack', 'Depth-First Search', '1+']",64.50%,True,Medium,https://leetcode.com/problems/nested-list-weight-sum-ii/description,https://leetcode.com/problems/nested-list-weight-sum-ii/solutions,nested-list-weight-sum-ii,"[{""input"": ""nestedList = [[1,1],2,[1,1]]"", ""expectedOutput"": ""8""}, {""input"": ""nestedList = [1,[4,[6]]]"", ""expectedOutput"": ""17""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
365, Water and Jug Problem,"['Math', 'Depth-First Search', '1+']",41.90%,False,Medium,https://leetcode.com/problems/water-and-jug-problem/description,https://leetcode.com/problems/water-and-jug-problem/solutions,water-and-jug-problem,"[{""input"": ""jug1Capacity = 3, jug2Capacity = 5, targetCapacity = 4"", ""expectedOutput"": ""true""}, {""input"": ""jug1Capacity = 2, jug2Capacity = 6, targetCapacity = 5"", ""expectedOutput"": ""false""}, {""input"": ""jug1Capacity = 1, jug2Capacity = 2, targetCapacity = 3"", ""expectedOutput"": ""true""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
366, Find Leaves of Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",80.80%,True,Medium,https://leetcode.com/problems/find-leaves-of-binary-tree/description,https://leetcode.com/problems/find-leaves-of-binary-tree/solutions,find-leaves-of-binary-tree,"[{""input"": ""root = [1,2,3,4,5]"", ""expectedOutput"": ""[[4,5,3],[2],[1]]""}, {""input"": ""root = [1]"", ""expectedOutput"": ""[[1]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
367, Valid Perfect Square,"['Math', 'Binary Search']",43.90%,False,Easy,https://leetcode.com/problems/valid-perfect-square/description,https://leetcode.com/problems/valid-perfect-square/solutions,valid-perfect-square,"[{""input"": ""num = 16"", ""expectedOutput"": ""true""}, {""input"": ""num = 14"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
368, Largest Divisible Subset,"['Array', 'Math', '2+']",45.70%,False,Medium,https://leetcode.com/problems/largest-divisible-subset/description,https://leetcode.com/problems/largest-divisible-subset/solutions,largest-divisible-subset,"[{""input"": ""nums = [1,2,3]"", ""expectedOutput"": ""[1,2]""}, {""input"": ""nums = [1,2,4,8]"", ""expectedOutput"": ""[1,2,4,8]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
369, Plus One Linked List,"['Linked List', 'Math']",61.10%,True,Medium,https://leetcode.com/problems/plus-one-linked-list/description,https://leetcode.com/problems/plus-one-linked-list/solutions,plus-one-linked-list,"[{""input"": ""head = [1,2,3]"", ""expectedOutput"": ""[1,2,4]""}, {""input"": ""head = [0]"", ""expectedOutput"": ""[1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
370, Range Addition,"['Array', 'Prefix Sum']",71.90%,True,Medium,https://leetcode.com/problems/range-addition/description,https://leetcode.com/problems/range-addition/solutions,range-addition,"[{""input"": ""length = 5, updates = [[1,3,2],[2,4,3],[0,2,-2]]"", ""expectedOutput"": ""[-2,0,3,5,3]""}, {""input"": ""length = 10, updates = [[2,4,6],[5,6,8],[1,9,-4]]"", ""expectedOutput"": ""[0,-4,2,2,2,4,4,-4,-4,-4]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
371, Sum of Two Integers,"['Math', 'Bit Manipulation']",52.70%,False,Medium,https://leetcode.com/problems/sum-of-two-integers/description,https://leetcode.com/problems/sum-of-two-integers/solutions,sum-of-two-integers,"[{""input"": ""a = 1, b = 2"", ""expectedOutput"": ""3""}, {""input"": ""a = 2, b = 3"", ""expectedOutput"": ""5""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
372, Super Pow,"['Math', 'Divide and Conquer']",35.10%,False,Medium,https://leetcode.com/problems/super-pow/description,https://leetcode.com/problems/super-pow/solutions,super-pow,"[{""input"": ""a = 2, b = [3]"", ""expectedOutput"": ""8""}, {""input"": ""a = 2, b = [1,0]"", ""expectedOutput"": ""1024""}, {""input"": ""a = 1, b = [4,3,3,8,5,2]"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
373, Find K Pairs with Smallest Sums,"['Array', 'Heap (Priority Queue)']",40.20%,False,Medium,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/description,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/solutions,find-k-pairs-with-smallest-sums,"[{""input"": ""nums1 = [1,7,11], nums2 = [2,4,6], k = 3"", ""expectedOutput"": ""[[1,2],[1,4],[1,6]]""}, {""input"": ""nums1 = [1,1,2], nums2 = [1,2,3], k = 2"", ""expectedOutput"": ""[[1,1],[1,1]]""}, {""input"": ""nums1 = [1,2], nums2 = [3], k = 3"", ""expectedOutput"": ""[[1,3],[2,3]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
374, Guess Number Higher or Lower,"['Binary Search', 'Interactive']",54.40%,False,Easy,https://leetcode.com/problems/guess-number-higher-or-lower/description,https://leetcode.com/problems/guess-number-higher-or-lower/solutions,guess-number-higher-or-lower,"[{""input"": ""n = 10, pick = 6"", ""expectedOutput"": ""6""}, {""input"": ""n = 1, pick = 1"", ""expectedOutput"": ""1""}, {""input"": ""n = 2, pick = 1"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
375, Guess Number Higher or Lower II,"['Math', 'Dynamic Programming', '1+']",50.10%,False,Medium,https://leetcode.com/problems/guess-number-higher-or-lower-ii/description,https://leetcode.com/problems/guess-number-higher-or-lower-ii/solutions,guess-number-higher-or-lower-ii,"[{""input"": ""n = 10"", ""expectedOutput"": ""16""}, {""input"": ""n = 1"", ""expectedOutput"": ""0""}, {""input"": ""n = 2"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
376, Wiggle Subsequence,"['Array', 'Dynamic Programming', 'Greedy']",48.60%,False,Medium,https://leetcode.com/problems/wiggle-subsequence/description,https://leetcode.com/problems/wiggle-subsequence/solutions,wiggle-subsequence,"[{""input"": ""nums = [1,7,4,9,2,5]"", ""expectedOutput"": ""6""}, {""input"": ""nums = [1,17,5,10,13,15,10,5,16,8]"", ""expectedOutput"": ""7""}, {""input"": ""nums = [1,2,3,4,5,6,7,8,9]"", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
377, Combination Sum IV,"['Array', 'Dynamic Programming']",54.40%,False,Medium,https://leetcode.com/problems/combination-sum-iv/description,https://leetcode.com/problems/combination-sum-iv/solutions,combination-sum-iv,"[{""input"": ""nums = [1,2,3], target = 4"", ""expectedOutput"": ""7""}, {""input"": ""nums = [9], target = 3"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
378, Kth Smallest Element in a Sorted Matrix,"['Array', 'Binary Search', 'Sorting', '2+']",62.90%,False,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/description,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/solutions,kth-smallest-element-in-a-sorted-matrix,"[{""input"": ""matrix = [[1,5,9],[10,11,13],[12,13,15]], k = 8"", ""expectedOutput"": ""13""}, {""input"": ""matrix = [[-5]], k = 1"", ""expectedOutput"": ""-5""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
379, Design Phone Directory,"['Array', 'Hash Table', 'Linked List', '2+']",52.00%,True,Medium,https://leetcode.com/problems/design-phone-directory/description,https://leetcode.com/problems/design-phone-directory/solutions,design-phone-directory,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
380, Insert Delete GetRandom O(1),"['Array', 'Hash Table', 'Math', '2+']",54.70%,False,Medium,https://leetcode.com/problems/insert-delete-getrandom-o(1)/description,https://leetcode.com/problems/insert-delete-getrandom-o(1)/solutions,insert-delete-getrandom-o1,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
381, Insert Delete GetRandom O(1) - Duplicates allowed,"['Array', 'Hash Table', 'Math', '2+']",35.60%,False,Hard,https://leetcode.com/problems/insert-delete-getrandom-o(1)---duplicates-allowed/description,https://leetcode.com/problems/insert-delete-getrandom-o(1)---duplicates-allowed/solutions,insert-delete-getrandom-o1-duplicates-allowed,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
382, Linked List Random Node,"['Linked List', 'Math', '2+']",63.50%,False,Medium,https://leetcode.com/problems/linked-list-random-node/description,https://leetcode.com/problems/linked-list-random-node/solutions,linked-list-random-node,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
383, Ransom Note,"['Hash Table', 'String', 'Counting']",63.00%,False,Easy,https://leetcode.com/problems/ransom-note/description,https://leetcode.com/problems/ransom-note/solutions,ransom-note,"[{""input"": ""ransomNote = \""a\"", magazine = \""b\"""", ""expectedOutput"": ""false""}, {""input"": ""ransomNote = \""aa\"", magazine = \""ab\"""", ""expectedOutput"": ""false""}, {""input"": ""ransomNote = \""aa\"", magazine = \""aab\"""", ""expectedOutput"": ""true""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
384, Shuffle an Array,"['Array', 'Math', 'Randomized']",58.60%,False,Medium,https://leetcode.com/problems/shuffle-an-array/description,https://leetcode.com/problems/shuffle-an-array/solutions,shuffle-an-array,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
385, Mini Parser,"['String', 'Stack', 'Depth-First Search']",39.00%,False,Medium,https://leetcode.com/problems/mini-parser/description,https://leetcode.com/problems/mini-parser/solutions,mini-parser,"[{""input"": ""s =  \""324 \"""", ""expectedOutput"": ""324""}, {""input"": ""s =  \""[123,[456,[789]]] \"""", ""expectedOutput"": ""[123,[456,[789]]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
386, Lexicographical Numbers,"['Depth-First Search', 'Trie']",72.70%,False,Medium,https://leetcode.com/problems/lexicographical-numbers/description,https://leetcode.com/problems/lexicographical-numbers/solutions,lexicographical-numbers,"[{""input"": ""n = 13"", ""expectedOutput"": ""[1,10,11,12,13,2,3,4,5,6,7,8,9]""}, {""input"": ""n = 2"", ""expectedOutput"": ""[1,2]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
387, First Unique Character in a String,"['Hash Table', 'String', 'Queue', '1+']",62.70%,False,Easy,https://leetcode.com/problems/first-unique-character-in-a-string/description,https://leetcode.com/problems/first-unique-character-in-a-string/solutions,first-unique-character-in-a-string,"[{""input"": ""s = \""leetcode\"""", ""expectedOutput"": ""0""}, {""input"": ""s = \""loveleetcode\"""", ""expectedOutput"": ""2""}, {""input"": ""s = \""aabb\"""", ""expectedOutput"": ""-1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
388, Longest Absolute File Path,"['String', 'Stack', 'Depth-First Search']",47.90%,False,Medium,https://leetcode.com/problems/longest-absolute-file-path/description,https://leetcode.com/problems/longest-absolute-file-path/solutions,longest-absolute-file-path,"[{""input"": ""input =  \""dir\\\\n\\\\tsubdir1\\\\n\\\\tsubdir2\\\\n\\\\t\\\\tfile.ext \"""", ""expectedOutput"": ""20""}, {""input"": ""input =  \""dir\\\\n\\\\tsubdir1\\\\n\\\\t\\\\tfile1.ext\\\\n\\\\t\\\\tsubsubdir1\\\\n\\\\tsubdir2\\\\n\\\\t\\\\tsubsubdir2\\\\n\\\\t\\\\t\\\\tfile2.ext \"""", ""expectedOutput"": ""32""}, {""input"": ""input =  \""a \"""", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
389, Find the Difference,"['Hash Table', 'String', '2+']",59.50%,False,Easy,https://leetcode.com/problems/find-the-difference/description,https://leetcode.com/problems/find-the-difference/solutions,find-the-difference,"[{""input"": ""s =  \""abcd \"", t =  \""abcde \"""", ""expectedOutput"": ""\""e \""""}, {""input"": ""s =  \"" \"", t =  \""y \"""", ""expectedOutput"": ""\""y \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
390, Elimination Game,"['Math', 'Recursion']",45.70%,False,Medium,https://leetcode.com/problems/elimination-game/description,https://leetcode.com/problems/elimination-game/solutions,elimination-game,"[{""input"": ""n = 9"", ""expectedOutput"": ""6""}, {""input"": ""n = 1"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
